Name,Daily,1 Week,1 Month,YTD,1 Year,3 Years
S&P/ASX 200 (Australia),0.0159,-0.0008,-0.0237,-0.0092,0.0341,0.1887
DJ New Zealand (New Zealand),0.0008,-0.0082,-0.0119,-0.0839,-0.1594,-0.0724
S&P 500 (United States),0.0108,-0.0091,0.0413,0.0858,0.2723,0.7729
S&P/TSX (Canada),0.0125,-0.0031,0.0061,0.0772,0.3213,0.6786
Bovespa (Brazil),0.0177,-0.0057,-0.0805,0.1007,0.292,0.6092
S&P/BMV IPC (Mexico),0.0049,-0.0045,0.0008,0.0713,0.19,0.2885
DAX (Germany),0.0138,0.0115,0.0224,0.0101,0.0308,0.5247
FTSE 100 (United Kingdom),0.0099,0.0057,-0.0042,0.0504,0.1937,0.3425
CAC 40 (France),0.017,0.0043,-0.0048,-0.0039,0.0322,0.0855
Euro Stoxx 50 (Eurozone),0.0209,0.0068,0.0117,0.0309,0.1016,0.3625
AEX (Netherlands),0.0146,0.0119,0.0122,0.0867,0.1152,0.3467
IBEX 35 (Spain),0.0216,0.0136,0.0025,0.043,0.2648,0.94
FTSE MIB (Italy),0.0171,-0.0174,0.0292,0.0943,0.2217,0.8008
SMI (Switzerland),0.0026,0.0141,0.0254,0.0099,0.092,0.1598
PSI (Portugal),0.0096,0.0136,0.0068,0.1191,0.2538,0.5427
BEL 20 (Belgium),0.0137,-0.0055,0.0214,0.0834,0.2261,0.4725
ATX (Austria),0.0115,-0.003,0.0163,0.1085,0.3404,0.8519
OMXS30 (Sweden),0.0124,0.0169,-0.0092,0.0751,0.239,0.3575
MOEX Russia Index (Russia),0,-0.007,-0.0439,-0.0457,-0.0544,0.0027
BIST 100 (Turkey),-0.0012,-0.0432,-0.0226,0.2442,0.4788,2.1374
TA 35 (Israel),0.0194,-0.0187,-0.0082,0.2097,0.6937,1.4349
Tadawul All Share (Saudi Arabia),0.0003,-0.0009,-0.0231,0.0472,-0.0182,-0.0303
Nikkei 225 (Japan),0.0365,-0.0115,0.0394,0.2303,0.6745,0.9923
Shanghai (China),0,-0.0037,0.0137,0.0488,0.2314,0.2627
Hang Seng (Hong Kong),-0.0005,-0.0283,-0.0199,0.0004,0.0891,0.303
Taiwan Weighted (Taiwan),0,-0.0378,0.0606,0.3871,0.8539,1.4829
KOSPI (South Korea),0.0763,-0.0268,0.2103,0.8433,1.9949,2.0378
IDX Composite (Indonesia),-0.0207,-0.0806,-0.1804,-0.2851,-0.1375,-0.0815
Nifty 50 (India),0.0046,0.0061,-0.0224,-0.0879,-0.0316,0.3013
VN 30 (Vietnam),-0.0024,-0.0196,0.0013,-0.0013,0.4388,0.8888
